% 1. Title: Citation Classification
 % 
 % 2. Sources:
 %  (a) Creator: Lucas Lopes Resende
 %  (b) Donor: USPTO
 %  (c) Date: April 2020
 % 
 @RELATION Patent

@ATTRIBUTE class {"Communication & Textual Studies","Psychology & Cognitive Sciences","General Science & Technology","Social Sciences","Physics & Astronomy","Built Environment & Design","Enabling & Strategic Technologies","Visual & Performing Arts","Biology","Information & Communication Technologies","Agriculture Fisheries & Forestry","Public Health & Health Services","Earth & Environmental Sciences","Mathematics & Statistics","Engineering","Clinical Medicine","Chemistry","Historical Studies","Field English","Economics & Business ","General Arts Humanities & Social Sciences","Biomedical Research","Philosophy & Theology"}
@ATTRIBUTE citation String

@DATA
"Agriculture Fisheries & Forestry","The first veterinary school was founded in Lyon France in by Claude Bourgelat According to Lupton after observing the devastation being caused by cattle plague to the French herds Bourgelat devoted his time to seeking out a remedy This resulted in his founding a veterinary school in Lyon in from which establishment he dispatched students to combat the disease in a short time the plague was stayed and the health of stock restored through the assistance rendered to agriculture by veterinary science and artThe school received immediate international recognition in the eighteenth century and its pedagogical model drew on the existing fields of human medicine natural history and comparative anatomy"
"Agriculture Fisheries & Forestry","Good management plans include consideration of future conditions of the stand after any recommended harvests treatments including future treatments particularly in intermediate stand treatments and plans for natural or artificial regeneration after final harvests"
"Agriculture Fisheries & Forestry","Scott James C Seeing Like a State Nature and Space Yale University Press"
"Agriculture Fisheries & Forestry","Richards A J Does Low Biodiversity Resulting from Modern Agricultural Practice Affect Crop Pollination and Yield Annals of Botany doi anbo"
"Agriculture Fisheries & Forestry","Davis Nicola October Origin of chocolate shifts miles and yearsThe Guardian Retrieved October"
"Agriculture Fisheries & Forestry","Boden Edward West Geoffrey Philip Black's veterinary dictionary Rowman & Littlefield ISBN "
"Agriculture Fisheries & Forestry","Forestry Quarterly first published in by the New York State College of Forestry"
"Agriculture Fisheries & Forestry","In addition to increasing crop yields agronomic biotechnology is increasingly being applied for novel uses other than food For example oilseed is at present used mainly for margarine and other food oils but it can be modified to produce fatty acids for detergents substitute fuels and petrochemicals"
"Agriculture Fisheries & Forestry","In order to keep up with changing demands and environmental factors forestry education does not stop at graduation Increasingly forestry professionals engage in regular training to maintain and improve on their management practices An increasingly popular tool are marteloscopes one hectare large rectangular forest sites where all trees are numbered mapped and recorded These sites can be used to do virtual thinnings and test one's wood quality and volume estimations as well as tree microhabitats This system is mainly suitable to regions with small scale multi functional forest management systems"
"Agriculture Fisheries & Forestry","Indigenous Australians long supposed to have been nomadic hunter gatherers practised systematic burning to enhance natural productivity in fire stick farming The Gunditjmara and other groups developed eel farming and fish trapping systems from some years ago There is evidence of 'intensification' across the whole continent over that period In two regions of Australia the central west coast and eastern central early farmers cultivated yams native millet and bush onions possibly in permanent settlements"
"Agriculture Fisheries & Forestry","National government policies can significantly change the economic marketplace for agricultural products in the form of taxation subsidies tariffs and other measures Since at least the s a combination of trade restrictions exchange rate policies and subsidies have affected farmers in both the developing and the developed world In the s non subsidized farmers in developing countries experienced adverse effects from national policies that created artificially low global prices for farm products Between the mid s and the early s several international agreements limited agricultural tariffs subsidies and other trade restrictions"
"Agriculture Fisheries & Forestry","A wide range of surgeries and operations are performed on various types of animals but not all of them are carried out by vets In a case in Iran for instance an eye surgeon managed to perform a successful cataract surgery on a rooster for the first time in the world"
"Agriculture Fisheries & Forestry","Arboriculture Controlled burn Dendrology Ecological thinning Even aged management Fire ecology Forest informatics IPM inventory governance law old growth pathology protection restoration secondary transition Forest certification ATFS CFS FSC PEFC SFI SmartWood Woodland Carbon Code Forestation afforestation reforestation Growth and yield modelling Horticulture GM trees i Tree urban Silviculture Sustainable management Tree allometry breeding Tree measurement crown girth height volume"
"Agriculture Fisheries & Forestry","Dunlop Robert H Malbert Charles Henri Veterinary pathophysiology Wiley Blackwell ISBN "
"Agriculture Fisheries & Forestry","The International Society for Horticultural Science promotes and encourages research and education in all branches of horticultural science"
"Agriculture Fisheries & Forestry","At many universities a Bachelor of Science BS degree in Animal Science allows emphasis in certain areas Typical areas are species specific or career specific Species specific areas of emphasis prepare students for a career in dairy management beef management swine management sheep or small ruminant management poultry production or the horse industry Other career specific areas of study include pre veterinary medicine studies livestock business and marketing animal welfare and behavior animal nutrition science animal reproduction science or genetics Youth programs are also an important part of animal science programs"
"Agriculture Fisheries & Forestry","and a percentage of the world's methane and future land infertility and the displacement of wildlife Agriculture contributes to climate change by anthropogenic emissions of greenhouse gases and by the conversion of non agricultural land such as forest for agricultural use Agriculture forestry and land use change contributed around to % to global annual emissions in A range of policies can reduce the risk of negative climate change impacts on agriculture and greenhouse gas emissions from the agriculture sector"
"Agriculture Fisheries & Forestry","Radostits O M Gay C C Blood D C Arundel J H Hinchcliff Kenneth W Veterinary Medicine A Textbook of the Diseases of Cattle Sheep Pigs Goats and Horses th ed Elsevier Health Sciences p ISBN "
"Agriculture Fisheries & Forestry","Janick JulesAgricultural Scientific Revolution MechanicalPDF Purdue University Archived PDF from the original on May Retrieved May"
"Agriculture Fisheries & Forestry","Dunlop Robert H Malbert Charles Henri Veterinary pathophysiology Wiley Blackwell ISBN "
"Agriculture Fisheries & Forestry","Veterinary care and management is usually led by a veterinary physician usually called a vet veterinary surgeon or veterinarian This role is the equivalent of a doctor in human medicine and usually involves post graduate study and qualification"
"Agriculture Fisheries & Forestry","Domestication of plants has over the centuries increased yield improved disease resistance and drought tolerance eased harvest and improved the taste and nutritional value of crop plants Careful selection and breeding have had enormous effects on the characteristics of crop plants Plant selection and breeding in the s and s improved pasture grasses and clover in New Zealand Extensive X ray and ultraviolet induced mutagenesis efforts ie primitive genetic engineering during the s produced the modern commercial varieties of grains such as wheat corn maize and barley"
"Agriculture Fisheries & Forestry","Horticulture has been defined as the agriculture of plants mainly for food materials comfort and beauty for decoration According to American horticulturist Liberty Hyde Bailey,Horticulture is the growing of flowers fruits and vegetables and of plants for ornament and fancyA more precise definition can be givenThe cultivation processing and sale of fruits nuts vegetables and ornamental plants as well as many additional servicesIt also includes plant conservation landscape restoration soil management landscape and garden design construction and maintenance and arboriculture In contrast to agriculture horticulture does not include large scale crop production or animal husbandry"
"Agriculture Fisheries & Forestry","Pfeiffer Dirk Veterinary Epidemiology An Introduction John Wiley and Sons ISBN "
"Agriculture Fisheries & Forestry","The Egyptian Papyrus of Kahun Twelfth Dynasty of Egypt is the first extant record of veterinary medicine The Shalihotra Samhita dating from the time of Ashoka is an early Indian veterinary treatise The edicts of Asoka read Everywhere King Piyadasi Asoka made two kinds of medicine चिकित्सा available medicine for people and medicine for animals Where there were no healing herbs for people and animals he ordered that they be bought and plantedHippiatrica is a Byzantine compilation of hippiatrics dated to the th or th century"
"Agriculture Fisheries & Forestry","The main US organization regarding food science and food technology is the Institute of Food Technologists IFT headquartered in Chicago Illinois which is the US member organisation of the International Union of Food Science and Technology IUFoST"
"Agriculture Fisheries & Forestry","Following the three sector theory the number of people employed in agriculture and other primary activities such as fishing can be more than % in the least developed countries and less than % in the most highly developed countries Since the Industrial Revolution many countries have made the transition to developed economies and the proportion of people working in agriculture has steadily fallen During the th century in Europe for example between and % of the population was engaged in agriculture by the th century this had dropped to between and % In the same countries today the figure is less than % At the start of the st century some one billion people or over of the available work force were employed in agriculture It constitutes approximately % of the global employment of children and in many countries employs the largest percentage of women of any industry The service sector overtook the agricultural sector as the largest global employer in"
"Agriculture Fisheries & Forestry","Young Raymond A Introduction to Forest Science John Wiley & Sons p ix ISBN "
"Agriculture Fisheries & Forestry","In the Philippines the program is offered in a number of schools and universities which includes University of the Philippines Los Baños Benguet State University Don Mariano Marcos Memorial State University Mindanao State University Central Luzon State University Cavite State University etc"
"Agriculture Fisheries & Forestry","Agribusiness Agricultural supplies Agricultural science Agricultural engineering Agroforestry Agronomy Animal husbandry Animal free agriculture Contract farming Extensive farming Farm Free range Intensive farming animals pigs crops Mechanised agriculture Organic farming Permaculture Sustainable agriculture Universities and colleges Urban agriculture"
"Agriculture Fisheries & Forestry","Buttinger Sabine Idee der NachhaltigkeitThe Idea of Sustainability Damals in German "
"Agriculture Fisheries & Forestry"," Value of agricultural productionOur World in Data Retrieved March"
"Agriculture Fisheries & Forestry","Conrad David ETenant Farming and SharecroppingEncyclopedia of Oklahoma History and Culture Oklahoma Historical Society Archived from the original on May Retrieved September"
"Agriculture Fisheries & Forestry","In Europe land usage rights in medieval and early modern times allowed different users to access forests and pastures Plant litter and resin extraction were important as pitch resin was essential for the caulking of ships falking and hunting rights firewood and building timber gathering in wood pastures and for grazing animals in forests The notion ofcommonsGermanAllmenderefers to the underlying traditional legal term of common land The idea of enclosed private property came about during modern times However most hunting rights were retained by members of the nobility which preserved the right of the nobility to access and use common land for recreation like fox hunting"
"Agriculture Fisheries & Forestry","Text is available under the Creative Commons Attribution ShareAlike License additional terms may apply By using this site you agree to the Terms of Use and Privacy Policy Wikipedia® is a registered trademark of the Wikimedia Foundation Inc a non profit organization"
"Agriculture Fisheries & Forestry","Text is available under the Creative Commons Attribution ShareAlike License additional terms may apply By using this site you agree to the Terms of Use and Privacy Policy Wikipedia® is a registered trademark of the Wikimedia Foundation Inc a non profit organization"
"Agriculture Fisheries & Forestry","See also Genetically modified food Genetically modified crops Regulation of the release of genetic modified organisms and Genetically modified food controversies"
"Agriculture Fisheries & Forestry"," Shifting cultivationSurvival International Archived from the original on August Retrieved August"
"Agriculture Fisheries & Forestry","Pimentel D Culliney T W Bashore T Public health risks associated with pesticides and natural toxins in foodsRadcliffe's IPM World Textbook Archived from the original on February Retrieved May"
"Agriculture Fisheries & Forestry","Agriculture by country Agriculture companies Biotechnology Livestock Meat industry Poultry farming"
"Agriculture Fisheries & Forestry","Trewavas Anthony A critical assessment of organic farming and food assertions with particular respect to the UK and the potential environmental benefits of no till agricultureCrop Protection doi jcropro"
"Agriculture Fisheries & Forestry","a bPowerSearch LogoutFindgalegroupcom Archived from the original on Retrieved "
"Agriculture Fisheries & Forestry","Merck Melinda D Veterinary forensics animal cruelty investigations John Wiley & Sons ISBN "
"Agriculture Fisheries & Forestry"," Protecting health and safety of workers in agriculture livestock farming horticulture and forestryEuropean Agency for Safety and Health at Work August Retrieved April"
"Agriculture Fisheries & Forestry","National Geographic Food Journeys of a Lifetime National Geographic Society p ISBN "
"Agriculture Fisheries & Forestry"," Ancient society of York Florists oldest horticultural society in world longest running horticultural show in world established"
"Agriculture Fisheries & Forestry","Horticulturists apply knowledge skills and technologies to grow intensively produced plants for human food and non food uses and for personal or social needs Their work involves plant propagation and cultivation with the aim of improving plant growth yields quality nutritional value and resistance to insects diseases and environmental stresses They work as gardeners growers therapists designers and technical advisors in the food and non food sectors of horticulture"
"Agriculture Fisheries & Forestry","a b Pugh LP From Farriery to Veterinary Medicine Heffner Cambridge for RCVS pp –"
"Agriculture Fisheries & Forestry","Career InformationAmerican Society of Animal Science ASAS Web Sept"
"Agriculture Fisheries & Forestry","Grassland based livestock production relies upon plant material such as shrubland rangeland and pastures for feeding ruminant animals Outside nutrient inputs may be used however manure is returned directly to the grassland as a major nutrient source This system is particularly important in areas where crop production is not feasible because of climate or soil representing million pastoralists Mixed production systems use grassland fodder crops and grain feed crops as feed for ruminant and monogastric one stomach mainly chickens and pigs livestock Manure is typically recycled in mixed systems as a fertilizer for crops"
"Agriculture Fisheries & Forestry","Allen Robert CEconomic structure and agricultural productivity in Europe –PDF European Review of Economic History Archived from the original PDF on October"
"Agriculture Fisheries & Forestry"," Schools offering Animal Science & Production courses in the Philippineswwwfinduniversityph"
"Agriculture Fisheries & Forestry","a b Watson Andrew M The Arab Agricultural Revolution and Its Diffusion –The Journal of Economic History doi s"
"Agriculture Fisheries & Forestry","Unternehmen Wald forests as an enterprise German private forestry association website Archived at the Wayback Machine"
"Agriculture Fisheries & Forestry"," Meat AtlasHeinrich Boell Foundation Friends of the Earth Europe"
"Agriculture Fisheries & Forestry","The end of the commons as a watershed' The Age of Ecology Joachim Radkau John Wiley & Sons ,clarification needed p ff"
"Agriculture Fisheries & Forestry","During the second half of the th century producers using selective breeding focused on creating livestock breeds and crossbreeds that increased production while mostly disregarding the need to preserve genetic diversity This trend has led to a significant decrease in genetic diversity and resources among livestock breeds leading to a corresponding decrease in disease resistance and local adaptations previously found among traditional breeds"
"Agriculture Fisheries & Forestry","Borger Julian February Feed the world  We are fighting a losing battle UN admitsArchived December at the Wayback Machine The Guardian London"
"Agriculture Fisheries & Forestry"," History of Plant BreedingColorado State University January Archived from the original on January Retrieved May"
"Agriculture Fisheries & Forestry","a b Thornton Philip K September Livestock production recent trends future prospectsPhilosophical Transactions of the Royal Society B doi rstb PMC PMID"
"Agriculture Fisheries & Forestry","Veterinary sciencesredirects here For the journal see Veterinary Sciences journal"
"Agriculture Fisheries & Forestry","Our planet our health Report of the WHO commission on health and environment Geneva World Health Organization"
"Agriculture Fisheries & Forestry","Whiteside Stephanie November Peru bans genetically modified foods as US lagsCurrent TV Archived from the original on March Retrieved May"
"Agriculture Fisheries & Forestry","Sensory analysis is the study of how consumers' senses perceive food"
"Agriculture Fisheries & Forestry","Horticulture has a very long history The study and science of horticulture dates all the way back to the times of Cyrus the Great of ancient Persia and has been going on ever since with present day horticulturists such as Freeman S Howlett and Luther Burbank The practice of horticulture can be retraced for many thousands of years The cultivation of taro and yam in Papua New Guinea dates back to at least cal BP The origins of horticulture lie in the transition of human communities from nomadic hunter gatherers to sedentary or semi sedentary horticultural communities cultivating a variety of crops on a small scale around their dwellings or in specialized plots visited occasionally during migrations from one area to the next such as themilpaor maize field of Mesoamerican cultures In the Pre Columbian Amazon Rainforest natives are believed to have used biochar to enhance soil productivity by smoldering plant waste European settlers called it Terra Preta de Indio In forest areas such horticulture is often carried out in swiddensslash and burnareas A characteristic of horticultural communities is that useful trees are often to be found planted around communities or specially retained from the natural ecosystem"
"Agriculture Fisheries & Forestry","Mechanised agriculture from the first models in the s tools like a cotton picker could replace farm workers at the price of increased use of fossil fuel"
"Agriculture Fisheries & Forestry","Sexton R J Industrialization and Consolidation in the US Food Sector Implications for Competition and WelfareAmerican Journal of Agricultural Economics doi "
"Agriculture Fisheries & Forestry","Victor Giurgiu Nov Revista pădurilor Journal of forests years of existenceRev pădur ISSN Archived from the original on Retrieved webpage has a translation button"
"Agriculture Fisheries & Forestry"," SAFnet Dictionary | Definition For forestryDictionaryofforestryorg Archived from the original on Retrieved "
"Agriculture Fisheries & Forestry","Text is available under the Creative Commons Attribution ShareAlike License additional terms may apply By using this site you agree to the Terms of Use and Privacy Policy Wikipedia® is a registered trademark of the Wikimedia Foundation Inc a non profit organization"
"Agriculture Fisheries & Forestry","Wallgren Christine Höjer Mattias Eating energy Identifying possibilities for reduced energy use in the future food supply systemEnergy Policy doi jenpol"
"Agriculture Fisheries & Forestry","Forester Arborist Bucker Choker setter Ecologist Feller Firefighter handcrew hotshot lookout smokejumper River driver Truck driver Log scaler Lumberjack Ranger Resin tapper Rubber tapper Shingle weaver Timber cruiser Tree planter Wood process engineer"
"Agriculture Fisheries & Forestry","Secondary growth Woody plants Herbaceous plants Habit Vines Lianas Shrubs Subshrubs Trees Succulent plants"
"Agriculture Fisheries & Forestry","Riviere Jim E Papich Mark G Veterinary pharmacology and therapeutics John Wiley and Sons ISBN "
"Agriculture Fisheries & Forestry","Hoeft Robert G Modern Corn and Soybean Production MCSP Publications pp to ASIN BRLDU"
"Agriculture Fisheries & Forestry","For broader coverage of this topic see Agricultural science"
"Agriculture Fisheries & Forestry","Anderson M Kat Tending the Wild Native American Knowledge And the Management of California's Natural Resources University of California Press ISBN "
"Agriculture Fisheries & Forestry","Text is available under the Creative Commons Attribution ShareAlike License additional terms may apply By using this site you agree to the Terms of Use and Privacy Policy Wikipedia® is a registered trademark of the Wikimedia Foundation Inc a non profit organization"
"Agriculture Fisheries & Forestry","a b Konnert M Fady B Gömöry D A’Hara S Wolter F Ducci F Koskela J Bozzano M Maaten T and Kowalczyk J Use and transfer of forest reproductive material in Europe in the context of climate changePDF European Forest Genetic Resources Programme Bioversity International Rome Italy xvi and p Archived PDF from the original on "
"Agriculture Fisheries & Forestry","The first veterinary school was founded in Lyon France in by Claude Bourgelat According to Lupton after observing the devastation being caused by cattle plague to the French herds Bourgelat devoted his time to seeking out a remedy This resulted in his founding a veterinary school in Lyon in from which establishment he dispatched students to combat the disease in a short time the plague was stayed and the health of stock restored through the assistance rendered to agriculture by veterinary science and artThe school received immediate international recognition in the eighteenth century and its pedagogical model drew on the existing fields of human medicine natural history and comparative anatomy"
"Agriculture Fisheries & Forestry","Catanzaro Thomas E Building the Successful Veterinary Practice Innovation and creativity Wiley Blackwell ISBN "
"Agriculture Fisheries & Forestry"," ČasopisSCIndeks Archived from the original on Retrieved "
"Agriculture Fisheries & Forestry","Walt Vivienne February The World's Growing Food Price CrisisTime Archived from the original on November"
"Agriculture Fisheries & Forestry","Adair Mary J Prehistoric Agriculture in the Central Plains Publications in Anthropology University of Kansas Lawrence"
"Agriculture Fisheries & Forestry","US and South African army veterinary technicians prepare a dog for spaying"
"Agriculture Fisheries & Forestry","Thrusfield Michael Veterinary epidemiology Wiley Blackwell ISBN "
"Agriculture Fisheries & Forestry","Food microbiology is the study of the microorganisms that inhabit create or contaminate food including the study of microorganisms causing food spoilageGoodbacteria however such as probiotics are becoming increasingly important in food science In addition microorganisms are essential for the production of foods such as cheese yogurt bread beer wine and other fermented foods"
"Agriculture Fisheries & Forestry"," Canadian Institute of Forestry Silver Ring ProgramCif ifcorg Archived from the original on Retrieved "
"Agriculture Fisheries & Forestry"," Ten worst famines of the th centurySydney Morning Herald August Archived from the original on July"
"Agriculture Fisheries & Forestry","Eyle Alexandra Charles Lathrop Pack Timberman Forest Conservationist and Pioneer in Forest Education Syracuse NY ESF College Foundation and College of Environmental Science and Forestry Distributed by Syracuse University Press Available Internet Archive"
"Agriculture Fisheries & Forestry","National Academies Of Sciences Engineering Negative Emissions Technologies and Reliable Sequestration A Research Agenda National Academies of Sciences Engineering and Medicine pp doi ISBN PMID"
"Agriculture Fisheries & Forestry","Stephens Lucas Fuller Dorian Boivin Nicole Rick Torben Gauthier Nicolas Kay Andrea Marwick Ben Armstrong Chelsey Geralda Barton C Michael August Archaeological assessment reveals Earth's early transformation through land useScience doi scienceaax hdl ISSN PMID"
"Agriculture Fisheries & Forestry","In Tanzania the program is offered at Sokoine University of Agriculture"
"Agriculture Fisheries & Forestry","Hart C Practical Forestry for the Agent and Surveyor Stroud Sutton Publishing ISBN "
"Agriculture Fisheries & Forestry"," Water Management Towards Food and Agriculture Organization March Archived from the original on May Retrieved May"
"Agriculture Fisheries & Forestry","Cook Samantha M Khan Zeyaur R Pickett John A The use of push pull strategies in integrated pest managementAnnual Review of Entomology doi annurevento PMID"
"Agriculture Fisheries & Forestry","Reid John F The Impact of Mechanization on AgricultureThe Bridge on Agriculture and Information Technology Archived from the original on November"
"Agriculture Fisheries & Forestry","Archeological evidence in the form of a cow skull upon which trepanation been performed shows that people were performing veterinary procedures in the Neolithic BCE"
"Agriculture Fisheries & Forestry"," Revista Montes with free downloadable digital files from Revistamontesnet Archived from the original on Retrieved "
"Agriculture Fisheries & Forestry","The end of the commons as a watershed' The Age of Ecology Joachim Radkau John Wiley & Sons ,clarification needed p ff"
"Agriculture Fisheries & Forestry","Unternehmen Wald forests as an enterprise German private forestry association website Archived at the Wayback Machine"
"Agriculture Fisheries & Forestry","Sugihara Neil G Van Wagtendonk Jan W Shaffer Kevin E Fites Kaufman Joann Thode Andrea E eds Fire in California's Ecosystems University of California Press p ISBN "
"Agriculture Fisheries & Forestry","Quality control involves the causes prevention and communication dealing with food borne illness"
"Agriculture Fisheries & Forestry","In the United States food science is typically studied at land grant universities Many of the country's pioneering food scientists were women who had attended chemistry programs at land grant universities which were state run and largely under state mandates to allow for sex blind admission but then graduated and had difficulty finding jobs due to widespread sexism in the chemistry industry in the late th and early th centuries Finding conventional career paths blocked they found alternative employment as instructors in home economics departments and used that as a base to launch the foundation of many modern food science programs"
"Agriculture Fisheries & Forestry","The examples and perspective in this article may not represent a worldwide view of the subject You may improve this article discuss the issue on the talk page or create a new article as appropriate December Learn how and when to remove this template message"
"Agriculture Fisheries & Forestry","Livestock production systems can be defined based on feed source as grassland based mixed and landless As of % of Earth's ice and water free area was used for producing livestock with the sector employing approximately billion people Between the s and the s there was a significant increase in livestock production both by numbers and by carcass weight especially among beef pigs and chickens the latter of which had production increased by almost a factor of Non meat animals such as milk cows and egg producing chickens also showed significant production increases Global cattle sheep and goat populations are expected to continue to increase sharply through Aquaculture or fish farming the production of fish for human consumption in confined operations is one of the fastest growing sectors of food production growing at an average of % a year between and"
"Agriculture Fisheries & Forestry","Smith Kate Edwards Rob March The year of global food crisisThe Herald Archived from the original on April"
"Agriculture Fisheries & Forestry","Unternehmen Wald forests as an enterprise German private forestry association website Archived at the Wayback Machine"
"Agriculture Fisheries & Forestry","Text is available under the Creative Commons Attribution ShareAlike License additional terms may apply By using this site you agree to the Terms of Use and Privacy Policy Wikipedia® is a registered trademark of the Wikimedia Foundation Inc a non profit organization"
"Agriculture Fisheries & Forestry","Hindo Brian February Report Raises Alarm over 'Super weeds'Bloomberg BusinessWeek Archived from the original on December"
"Agriculture Fisheries & Forestry","In Europe land usage rights in medieval and early modern times allowed different users to access forests and pastures Plant litter and resin extraction were important as pitch resin was essential for the caulking of ships falking and hunting rights firewood and building timber gathering in wood pastures and for grazing animals in forests The notion ofcommonsGermanAllmenderefers to the underlying traditional legal term of common land The idea of enclosed private property came about during modern times However most hunting rights were retained by members of the nobility which preserved the right of the nobility to access and use common land for recreation like fox hunting"
"Agriculture Fisheries & Forestry"," Center for Global Food IssuesCenter for Global Food Issues Archived from the original on February Retrieved July"
"Agriculture Fisheries & Forestry","Mascarelli Amanda November Mayans converted wetlands to farmlandNature doi news"
"Agriculture Fisheries & Forestry","A number of professions exist within the scope of veterinary medicine but which may not necessarily be performed by vets or veterinary nurses This includes those performing roles which are also found in human medicine such as practitioners dealing with musculoskeletal disorders including osteopaths chiropractors and physiotherapists"
"Agriculture Fisheries & Forestry","Ljungh A Wadstrom T editors Lactobacillus Molecular Biology From Genomics to Probiotics Caister Academic Press ISBN "
"Agriculture Fisheries & Forestry","Reardon Richard CBiological Control of The Gypsy Moth An OverviewSouthern Appalachian Biological Control Initiative Workshop Archived from the original on September Retrieved April"
"Agriculture Fisheries & Forestry","Largest countries by agricultural output in nominal terms according to IMF and CIA World Factbook at peak level as of"
"Agriculture Fisheries & Forestry","At many universities a Bachelor of Science BS degree in Animal Science allows emphasis in certain areas Typical areas are species specific or career specific Species specific areas of emphasis prepare students for a career in dairy management beef management swine management sheep or small ruminant management poultry production or the horse industry Other career specific areas of study include pre veterinary medicine studies livestock business and marketing animal welfare and behavior animal nutrition science animal reproduction science or genetics Youth programs are also an important part of animal science programs"
"Agriculture Fisheries & Forestry","Waters Tony The Persistence of Subsistence Agriculture life beneath the level of the marketplace Lexington Books"
"Agriculture Fisheries & Forestry","Lane D R Cooper B Veterinary nursing Elsevier Health Sciences ISBN "
"Agriculture Fisheries & Forestry","a b Larson G Piperno D R Allaby R G Purugganan M D Andersson L Arroyo Kalin M Barton L Climer Vigueira C Denham T Dobney K Doust A N Gepts P Gilbert M T P Gremillion K J Lucas L Lukens L Marshall F B Olsen K M Pires JC Richerson P J Rubio De Casas R Sanjur OI Thomas M G Fuller DQ Current perspectives and the future of domestication studiesPNAS Bibcode PNASL doi pnas PMC PMID"
"Agriculture Fisheries & Forestry","Agriculture is the science and art of cultivating plants and livestock Agriculture was the key development in the rise of sedentary human civilization whereby farming of domesticated species created food surpluses that enabled people to live in cities The history of agriculture began thousands of years ago After gathering wild grains beginning at least years ago nascent farmers began to plant them around years ago Pigs sheep and cattle were domesticated over years ago Plants were independently cultivated in at least regions of the world Industrial agriculture based on large scale monoculture in the twentieth century came to dominate agricultural output though about billion people still depended on subsistence agriculture into the twenty first"
"Agriculture Fisheries & Forestry","Mortished Carl MarchAlready we have riots hoarding panic the sign of things to come Archived August at the Wayback Machine The Times London"
"Agriculture Fisheries & Forestry","Christian Pfister Hrsg Das er Syndrom Der Weg in die Konsumgesellschaft Bern"
"Agriculture Fisheries & Forestry","The examples and perspective in this article may not represent a worldwide view of the subject You may improve this article discuss the issue on the talk page or create a new article as appropriate December Learn how and when to remove this template message"
"Agriculture Fisheries & Forestry","Oppenheimer M et al Section Assessment of Response Strategies to Manage Risks in Chapter Emergent risks and key vulnerabilities archived November in IPCC ARWG A Field CB et al eds Climate Change Impacts Adaptation and Vulnerability Part A Global and Sectoral Aspects Contribution of Working Group II WG to the Fifth Assessment Report AR of the Intergovernmental Panel on Climate Change IPCC Cambridge University Press p"
"Agriculture Fisheries & Forestry"," Farmers Guide to GMOsPDF Rural Advancement Foundation International January Archived PDF from the original on May Retrieved April"
"Agriculture Fisheries & Forestry","Šumarski list Forestry Review Croatia was published in by Croatian Forestry Society"
"Agriculture Fisheries & Forestry","Animal Industry CareersPurdue University Purdue University Aug Web Oct"
"Agriculture Fisheries & Forestry","hortus Charlton T Lewis and Charles Short A Latin Dictionary on Perseus Project"
"Agriculture Fisheries & Forestry","Horticulture has a very long history The study and science of horticulture dates all the way back to the times of Cyrus the Great of ancient Persia and has been going on ever since with present day horticulturists such as Freeman S Howlett and Luther Burbank The practice of horticulture can be retraced for many thousands of years The cultivation of taro and yam in Papua New Guinea dates back to at least cal BP The origins of horticulture lie in the transition of human communities from nomadic hunter gatherers to sedentary or semi sedentary horticultural communities cultivating a variety of crops on a small scale around their dwellings or in specialized plots visited occasionally during migrations from one area to the next such as themilpaor maize field of Mesoamerican cultures In the Pre Columbian Amazon Rainforest natives are believed to have used biochar to enhance soil productivity by smoldering plant waste European settlers called it Terra Preta de Indio In forest areas such horticulture is often carried out in swiddensslash and burnareas A characteristic of horticultural communities is that useful trees are often to be found planted around communities or specially retained from the natural ecosystem"
"Agriculture Fisheries & Forestry","Scott James C Seeing Like a State Nature and Space Yale University Press"
"Agriculture Fisheries & Forestry","This article is about the scientific field of forestry For the American racehorse see Forestry horse"
"Agriculture Fisheries & Forestry"," Livestock a major threat to environmentUN Food and Agriculture Organization November Archived from the original on March Retrieved April"
"Agriculture Fisheries & Forestry"," Department of environmental conservationNew York State Department Archived from the original on Retrieved "
"Agriculture Fisheries & Forestry","Agriculture specifically farming remains a hazardous industry and farmers worldwide remain at high risk of work related injuries lung disease noise induced hearing loss skin diseases as well as certain cancers related to chemical use and prolonged sun exposure On industrialized farms injuries frequently involve the use of agricultural machinery and a common cause of fatal agricultural injuries in developed countries is tractor rollovers Pesticides and other chemicals used in farming can also be hazardous to worker health and workers exposed to pesticides may experience illness or have children with birth defects As an industry in which families commonly share in work and live on the farm itself entire families can be at risk for injuries illness and death Ages may be an especially vulnerable population in agriculture common causes of fatal injuries among young farm workers include drowning machinery and motor accidents including with all terrain vehicles"
"Agriculture Fisheries & Forestry"," Value of agricultural productionOur World in Data Retrieved March"
"Agriculture Fisheries & Forestry","Text is available under the Creative Commons Attribution ShareAlike License additional terms may apply By using this site you agree to the Terms of Use and Privacy Policy Wikipedia® is a registered trademark of the Wikimedia Foundation Inc a non profit organization"
"Agriculture Fisheries & Forestry","Foresters of the Austral University of Chile in the Valdivian forests of San Pablo de Tregua Chile"
"Agriculture Fisheries & Forestry","Food science brings together multiple scientific disciplines It incorporates concepts from fields such as chemistry physics physiology microbiology biochemistry Food technology incorporates concepts from chemical engineering for example"
"Agriculture Fisheries & Forestry"," Meat AtlasHeinrich Boell Foundation Friends of the Earth Europe"
"Agriculture Fisheries & Forestry","Fenner William R Quick reference to veterinary medicine John Wiley & Sons ISBN "
"Engineering"," OR Pubs IOL HomeINFORMSorg January Archived from the original on May Retrieved November"
