Numer	Journal	Field
	Early Science and Medicine	Historical Studies
	Historia Mathematica	Historical Studies
	Historia, ciencias, saude--Manguinhos	Historical Studies
	Historical Records of Australian Science	Historical Studies
	History of Psychology	Historical Studies
	History of science; an annual review of literature, research and teaching	Historical Studies
	Isis	Historical Studies
	Journal of the Association for History and Computing	Historical Studies
	Journal of the History of Biology	Historical Studies
	Journal of the history of ideas	Historical Studies
	Journal of the History of Medicine and Allied Sciences	Historical Studies
	Journal of the History of the Behavioral Sciences	Historical Studies
	Journal of the History of the Neurosciences	Historical Studies
	Medical history	Historical Studies
	Medizinhistorisches Journal	Historical Studies
	Physics in Perspective	Historical Studies
	Science in Context	Historical Studies
	Social History of Medicine	Historical Studies
	The Agricultural history review	Historical Studies
	Australian Economic History Review	Historical Studies
	Business History	Historical Studies
	Business history review	Historical Studies
	Cliometrica	Historical Studies
	Economic History Review	Historical Studies
	Enterprise & Society	Historical Studies
	European Journal of the History of Economic Thought	Historical Studies
	European review of economic history	Historical Studies
	Explorations in Economic History	Historical Studies
	Financial History Review	Historical Studies
	Historical methods	Historical Studies
	History of Education	Historical Studies
	History of Political Economy	Historical Studies
	History of the Human Sciences	Historical Studies
	Journal of Interdisciplinary History	Historical Studies
	Journal of the History of Economic Thought	Historical Studies
	Journal of Transport History	Historical Studies
	Law and History Review	Historical Studies
	Local population studies	Historical Studies
	Paedagogica Historica	Historical Studies
	Research in economic history	Historical Studies
	Scandinavian Economic History Review	Historical Studies
	Social Science History	Historical Studies
	Textile History	Historical Studies
	The journal of economic history	Historical Studies
	Accountability in Research	Philosophy & Theology
	American Journal of Bioethics	Philosophy & Theology
	American journal of law & medicine	Philosophy & Theology
	Artificial Intelligence and Law	Philosophy & Theology
	Bioethics	Philosophy & Theology
	Biotechnology Law Report	Philosophy & Theology
	BMC Medical Ethics	Philosophy & Theology
	Business Ethics Quarterly	Philosophy & Theology
	Cambridge Quarterly of Healthcare Ethics	Philosophy & Theology
	Developing World Bioethics	Philosophy & Theology
	Environmental Ethics	Philosophy & Theology
	Ethical human sciences and services : an international journal of critical inquiry	Philosophy & Theology
	Ethics & Behavior	Philosophy & Theology
	Ethics and Information Technology	Philosophy & Theology
	Ethics in Science and Environmental Politics	Philosophy & Theology
	Ethics, Place and Environment	Philosophy & Theology
	Ethik in der Medizin	Philosophy & Theology
	European Journal of Health Law	Philosophy & Theology
	Health Care Analysis	Philosophy & Theology
	HEC Forum	Philosophy & Theology
	International Journal of Business Governance and Ethics	Philosophy & Theology
	IRB	Philosophy & Theology
	Issues in law & medicine	Philosophy & Theology
	JONA's Healthcare Law, Ethics, and Regulation	Philosophy & Theology
	Journal international de bioethique = International journal of bioethics	Philosophy & Theology
	Journal of Academic Ethics	Philosophy & Theology
	Journal of Agricultural and Environmental Ethics	Philosophy & Theology
	Journal of Bioethical Inquiry	Philosophy & Theology
	Journal of Business Ethics	Philosophy & Theology
	Journal of information ethics	Philosophy & Theology
	Journal of Legal Medicine	Philosophy & Theology
	Journal of medical ethics	Philosophy & Theology
	Journal of Medicine and Philosophy (OUP)	Philosophy & Theology
	Kennedy Institute of Ethics Journal	Philosophy & Theology
	Medecine & Droit	Philosophy & Theology
	Medicine and law	Philosophy & Theology
	Medicine, Health Care and Philosophy	Philosophy & Theology
	NanoEthics	Philosophy & Theology
	Nursing Ethics	Philosophy & Theology
	Philosophy, Ethics, and Humanities in Medicine	Philosophy & Theology
	Science and Engineering Ethics	Philosophy & Theology
	The Hastings Center report	Philosophy & Theology
	The journal of biolaw & business	Philosophy & Theology
	The Journal of clinical ethics	Philosophy & Theology
	The Journal of Law, Medicine & Ethics	Philosophy & Theology
	Theoretical Medicine and Bioethics	Philosophy & Theology
	American Catholic Philosophical Quarterly	Philosophy & Theology
	American philosophical quarterly	Philosophy & Theology
	Analysis	Philosophy & Theology
	Archiv für Geschichte der Philosophie	Philosophy & Theology
	Argumentation	Philosophy & Theology
	Asian Philosophy	Philosophy & Theology
	Australasian Journal of Philosophy	Philosophy & Theology
	British Journal for the History of Philosophy	Philosophy & Theology
	British Journal of Aesthetics	Philosophy & Theology
	Canadian journal of philosophy	Philosophy & Theology
	Deutsche Zeitschrift fur Philosophie	Philosophy & Theology
	Dialectica	Philosophy & Theology
	Dialogue	Philosophy & Theology
	Economics and Philosophy	Philosophy & Theology
	Erkenntnis	Philosophy & Theology
	Ethical Theory and Moral Practice	Philosophy & Theology
	Ethics	Philosophy & Theology
	European Journal of Philosophy	Philosophy & Theology
	Hegel-Studien	Philosophy & Theology
	History & Philosophy of Logic	Philosophy & Theology
	Husserl Studies	Philosophy & Theology
	International Journal of Philosophical Studies	Philosophy & Theology
	International Philosophical Quarterly	Philosophy & Theology
	Journal of Aesthetics and Art Criticism	Philosophy & Theology
	Journal of Chinese Philosophy	Philosophy & Theology
	Journal of Moral Philosophy (Brill)	Philosophy & Theology
	Journal of Philosophical Logic	Philosophy & Theology
	Journal of Philosophical Research	Philosophy & Theology
	Journal of Philosophy of Education	Philosophy & Theology
	Journal of the History of Philosophy	Philosophy & Theology
	Kant-Studien	Philosophy & Theology
	Logique et Analyse	Philosophy & Theology
	Metaphilosophy	Philosophy & Theology
	Midwest Studies in Philosophy	Philosophy & Theology
	Mind	Philosophy & Theology
	Nous	Philosophy & Theology
	Pacific Philosophical Quarterly	Philosophy & Theology
	Philosophia Mathematica	Philosophy & Theology
	Philosophical Forum	Philosophy & Theology
	Philosophical Investigations	Philosophy & Theology
	Philosophical Perspectives	Philosophy & Theology
	Philosophical Review	Philosophy & Theology
	Philosophical Studies	Philosophy & Theology
	Philosophische Rundschau	Philosophy & Theology
	Philosophy & Rhetoric	Philosophy & Theology
	Philosophy (London, England)	Philosophy & Theology
	Philosophy and Literature	Philosophy & Theology
	Philosophy and Phenomenological Research	Philosophy & Theology
	Philosophy and Public Affairs	Philosophy & Theology
	Philosophy East & West	Philosophy & Theology
	Philosophy Today	Philosophy & Theology
	Ratio	Philosophy & Theology
	Res Publica	Philosophy & Theology
	South African Journal of Philosophy	Philosophy & Theology
	Synthese	Philosophy & Theology
	The Journal of Ethics	Philosophy & Theology
	The Journal of Jewish Thought and Philosophy	Philosophy & Theology
	The journal of philosophy	Philosophy & Theology
	The Journal of Value Inquiry	Philosophy & Theology
	The Monist	Philosophy & Theology
	The Philosophical Quarterly	Philosophy & Theology
	The Review of metaphysics	Philosophy & Theology
	The Southern Journal of Philosophy	Philosophy & Theology
	Theoria	Philosophy & Theology
	Theoria: Revista de Teoria, Historia y Fundamentos de la Ciencia	Philosophy & Theology
	Transactions of the Charles S. Peirce Society	Philosophy & Theology
	Voprosy filosofii / Akademiia nauk SSSR, Institut filosofii	Philosophy & Theology
	Archives de sciences sociales des religions	Philosophy & Theology
	Biblica	Philosophy & Theology
	Biblical Theology Bulletin	Philosophy & Theology
	British Journal of Religious Education	Philosophy & Theology
	Catholic Biblical Quarterly	Philosophy & Theology
	Dead Sea Discoveries	Philosophy & Theology
	History of Religions	Philosophy & Theology
	International Journal for Philosophy of Religion	Philosophy & Theology
	International Journal of Systematic Theology	Philosophy & Theology
	Journal for the Scientific Study of Religion	Philosophy & Theology
	Journal for the Study of the Old Testament	Philosophy & Theology
	Journal for the Study of the Pseudepigrapha	Philosophy & Theology
	Journal of Biblical Literature	Philosophy & Theology
	Journal of Contemporary Religion	Philosophy & Theology
	Journal of Early Christian Studies	Philosophy & Theology
	Journal of Indian Philosophy	Philosophy & Theology
	Journal of Religion	Philosophy & Theology
	Journal of Religion in Africa	Philosophy & Theology
	Journal of Religious Ethics	Philosophy & Theology
	Journal of Semitic Studies	Philosophy & Theology
	Journal of the American Academy of Religion	Philosophy & Theology
	Journal of Theological Studies	Philosophy & Theology
	Method & Theory in the Study of Religion	Philosophy & Theology
	New Testament Studies	Philosophy & Theology
	Religion	Philosophy & Theology
	Religious Education	Philosophy & Theology
	Religious Studies	Philosophy & Theology
	Review of religious research	Philosophy & Theology
	Scottisch Journal of Theology	Philosophy & Theology
	Social Compass	Philosophy & Theology
	Sociology of Religion	Philosophy & Theology
	The Harvard theological review	Philosophy & Theology
	The Heythrop Journal	Philosophy & Theology
	The Thomist	Philosophy & Theology
	Zeitschrift für die Alttestamentliche Wissenschaft	Philosophy & Theology
	Art History	Visual & Performing Arts
	Dance Research Journal	Visual & Performing Arts
	Journal of the History of Collections	Visual & Performing Arts
	Journal of Visual Culture	Visual & Performing Arts
	Leonardo	Visual & Performing Arts
	Metropolitan Museum Journal	Visual & Performing Arts
	Metropolitan Museum of Art Bulletin	Visual & Performing Arts
	Oxford Art Journal	Visual & Performing Arts
	Pantheon-Internationale Jahreszeitschrift fur Kunst	Visual & Performing Arts
	Storia dell'Arte	Visual & Performing Arts
	The Art bulletin	Visual & Performing Arts
	The Burlington magazine	Visual & Performing Arts
	Winterthur Portfolio	Visual & Performing Arts
	Word & Image	Visual & Performing Arts
	Contemporary Theatre Review	Visual & Performing Arts
	Estreno-Cuadernos Del Teatro Espanol Contemporaneo	Visual & Performing Arts
	Modern Drama	Visual & Performing Arts
	New Theatre Quarterly	Visual & Performing Arts
	Performance Research	Visual & Performing Arts
	TDR, The Drama Review	Visual & Performing Arts
	Theatre Journal	Visual & Performing Arts
	Theatre survey	Visual & Performing Arts
	Folklore	Visual & Performing Arts
	Journal of Folklore Research	Visual & Performing Arts
	The Journal of American folk-lore	Visual & Performing Arts
	19th-Century Music	Visual & Performing Arts
	American Music	Visual & Performing Arts
	Bulletin of the Council for Research in Music Education	Visual & Performing Arts
	Cambridge Opera Journal	Visual & Performing Arts
	Computer Music Journal	Visual & Performing Arts
	Contemporary Music Review	Visual & Performing Arts
	Digital Creativity	Visual & Performing Arts
	Early Music	Visual & Performing Arts
	Early Music History	Visual & Performing Arts
	International Journal of Music Education	Visual & Performing Arts
	Journal  of the Royal Musical Association	Visual & Performing Arts
	Journal of Musicological Research	Visual & Performing Arts
	Journal of Musicology	Visual & Performing Arts
	Journal of New Music Research	Visual & Performing Arts
	Journal of Research in Music Education	Visual & Performing Arts
	Journal of the American Musicological Society	Visual & Performing Arts
	Leonardo Music Journal	Visual & Performing Arts
	Music Analysis	Visual & Performing Arts
	Music and Letters	Visual & Performing Arts
	Music Theory Spectrum	Visual & Performing Arts
	Musical Quarterly	Visual & Performing Arts
	Perspectives of New Music	Visual & Performing Arts
	Popular Music	Visual & Performing Arts
	Popular Music & Society	Visual & Performing Arts
	Research Studies in Music Education	Visual & Performing Arts
	Rivista Italiana di Musicologia	Visual & Performing Arts
	Abacus	Economics & Business 
	Accounting & Finance	Economics & Business 
	Accounting and Business Research	Economics & Business 
	Accounting Business & Financial History	Economics & Business 
	Accounting Forum	Economics & Business 
	Accounting Horizons	Economics & Business 
	Accounting, Auditing & Accountability Journal	Economics & Business 
	Accounting, Organizations and Society	Economics & Business 
	Advances in Accounting	Economics & Business 
	Advances in Accounting Behavioral Research	Economics & Business 
	Advances in International Accounting	Economics & Business 
	Advances in Management Accounting	Economics & Business 
	Auditing: A Journal of Practice & Theory	Economics & Business 
	Canadian Accounting Perspectives	Economics & Business 
	Contemporary Accounting Research	Economics & Business 
	Critical Perspectives On Accounting	Economics & Business 
	European Accounting Review	Economics & Business 
	Handbooks of Management Accounting Research	Economics & Business 
	International Journal of Accounting	Economics & Business 
	International Journal of Accounting, Auditing and Performance Evaluation	Economics & Business 
	Journal of Accounting and Economics	Economics & Business 
	Journal of Accounting and Public Policy	Economics & Business 
	Journal of Accounting Education	Economics & Business 
	Journal of Accounting Research	Economics & Business 
	Journal of Accounting, Auditing and Finance	Economics & Business 
	Journal of International Accounting, Auditing and Taxation	Economics & Business 
	Journal of International Financial Management & Accounting	Economics & Business 
	Management Accounting Research	Economics & Business 
	Managerial Auditing Journal	Economics & Business 
	Review of Accounting Studies	Economics & Business 
	The Accounting Review	Economics & Business 
	The British Accounting Review	Economics & Business 
	AgBioForum	Economics & Business 
	Agribusiness : An International Journal	Economics & Business 
	Agricultural and Resource Economics Review	Economics & Business 
	Agricultural Economics	Economics & Business 
	American Journal of Agricultural Economics	Economics & Business 
	Australian Commodities	Economics & Business 
	Australian Journal of Agricultural & Resource Economics	Economics & Business 
	Canadian Journal of Agricultural Economics	Economics & Business 
	Ecological Economics	Economics & Business 
	Environment and Development Economics	Economics & Business 
	Environmental and Resource Economics	Economics & Business 
	Eurochoices	Economics & Business 
	European Review of Agricultural Economics	Economics & Business 
	Food Policy	Economics & Business 
	Handbook of Agricultural Economics	Economics & Business 
	International Food and Agribusiness Management Review	Economics & Business 
	International Journal of Agricultural Resources, Governance and Ecology	Economics & Business 
	International Journal of Sustainable Development	Economics & Business 
	Journal of Agricultural & Food Industrial Organization	Economics & Business 
	Journal of Agricultural and Resource Economics	Economics & Business 
	Journal of Agricultural Economics	Economics & Business 
	Journal of Environmental Economics and Management	Economics & Business 
	Land economics	Economics & Business 
	Quarterly, Journal of International Agriculture	Economics & Business 
	Review of Agricultural Economics	Economics & Business 
	Review of Environmental Economics and Policy	Economics & Business 
	Western Journal of Agricultural Economics	Economics & Business 
	Academy of Management Annals	Economics & Business 
	Academy of Management Executive	Economics & Business 
	Academy of Management journal. Academy of Management	Economics & Business 
	Academy of Management Learning and Education	Economics & Business 
	Academy of Management Perspectives	Economics & Business 
	Academy of management review. Academy of Management	Economics & Business 
	Administrative science quarterly	Economics & Business 
	Advances in Entrepreneurship, Firm Emergence and Growth	Economics & Business 
	Advances in Global Leadership	Economics & Business 
	Advances in Human Performance and Cognitive Engineering Research	Economics & Business 
	Advances in Interdisciplinary Studies of Work Teams	Economics & Business 
	Advances in International Management	Economics & Business 
	Advances in Mergers and Acquisitions	Economics & Business 
	Advances in Strategic Management	Economics & Business 
	Advances in the Study of Entrepreneurship, Innovation, and Economic Growth	Economics & Business 
	Applied Psychology	Economics & Business 
	Asia Pacific Business Review	Economics & Business 
	Asia Pacific Journal of Management	Economics & Business 
	Baltic Journal of Management	Economics & Business 
	Benchmarking: An International Journal	Economics & Business 
	Betriebswirtschaftliche Forschung und Praxis	Economics & Business 
	British Journal of Management	Economics & Business 
	Business & Society	Economics & Business 
	Business and Society Review	Economics & Business 
	Business Communication Quarterly	Economics & Business 
	Business Horizons	Economics & Business 
	Business Process Management Journal	Economics & Business 
	Business Strategy and the Environment	Economics & Business 
	Business Strategy Review	Economics & Business 
	California management review	Economics & Business 
	Canadian Journal of Administrative Sciences	Economics & Business 
	Career Development International	Economics & Business 
	Community, Work & Family	Economics & Business 
	Computational & Mathematical Organization Theory	Economics & Business 
	Consulting Psychology Journal: Practice & Research	Economics & Business 
	Corporate Communications: An International Journal	Economics & Business 
	Corporate Environmental Strategy	Economics & Business 
	Corporate Governance	Economics & Business 
	Corporate Social Responsibility and Environmental Management	Economics & Business 
	Critical Perspectives on International Business	Economics & Business 
	Decision Sciences	Economics & Business 
	Development and Learning in Organizations	Economics & Business 
	Education  + Training	Economics & Business 
	Emergence	Economics & Business 
	EMJ - Engineering Management Journal	Economics & Business 
	Employee Responsibilities and Rights Journal	Economics & Business 
	Engineering Management Journal	Economics & Business 
	Enterprise Information Systems	Economics & Business 
	Entrepreneurship & Regional Development	Economics & Business 
	Entrepreneurship Theory and Practice	Economics & Business 
	European Business Review	Economics & Business 
	European Journal of Innovation Management	Economics & Business 
	European Journal of Purchasing & Supply Management	Economics & Business 
	European Journal of Work & Organizational Psychology	Economics & Business 
	European Management Journal	Economics & Business 
	Family Business Review	Economics & Business 
	Group & Organization Management	Economics & Business 
	Human Performance	Economics & Business 
	Human Relations	Economics & Business 
	Human Resource Development Quarterly	Economics & Business 
	Human Resource Development Review	Economics & Business 
	Human Resource Management International Digest	Economics & Business 
	Human Resource Management Review	Economics & Business 
	Human Systems Management	Economics & Business 
	IEEE Engineering Management Review	Economics & Business 
	IEEE Transactions on Engineering Management	Economics & Business 
	Industrial and Commercial Training	Economics & Business 
	Industrial and Corporate Change	Economics & Business 
	Industrial Management & Data Systems	Economics & Business 
	Industry and Innovation	Economics & Business 
	International Business Review	Economics & Business 
	International Entrepreneurship and Management Journal	Economics & Business 
	International Journal of Business Information Systems	Economics & Business 
	International Journal of Business Performance Management	Economics & Business 
	International Journal of Cross Cultural Management	Economics & Business 
	International Journal of Entrepreneurial Behaviour & Research	Economics & Business 
	International Journal of Entrepreneurship and Innovation Management	Economics & Business 
	International Journal of Entrepreneurship and Small Business	Economics & Business 
	International Journal of Foresight and Innovation Policy	Economics & Business 
	International Journal of Human Resources Development and Management	Economics & Business 
	International Journal of Information Technology and Management	Economics & Business 
	International Journal of Innovation and Learning	Economics & Business 
	International Journal of Integrated Supply Management	Economics & Business 
	International Journal of Learning and Intellectual Capital	Economics & Business 
	International Journal of Logistics Systems and Management	Economics & Business 
	International Journal of Management and Decision Making	Economics & Business 
	International Journal of Management and Enterprise Development	Economics & Business 
	International Journal of Management Reviews	Economics & Business 
	International Journal of Manufacturing Technology and Management	Economics & Business 
	International Journal of Operations & Production Management	Economics & Business 
	International Journal of Physical Distribution & Logistics Management	Economics & Business 
	International Journal of Product Development	Economics & Business 
	International Journal of Productivity and Performance Management	Economics & Business 
	International Journal of Productivity and Quality Management	Economics & Business 
	International Journal of Quality & Reliability Management	Economics & Business 
	International Journal of Selection and Assessment	Economics & Business 
	International Journal of Services and Operations Management	Economics & Business 
	International Journal of Services and Standards	Economics & Business 
	International Journal of Services Technology and Management	Economics & Business 
	International Journal of Six Sigma and Competitive Advantage	Economics & Business 
	International Journal of Stress Management	Economics & Business 
	International Journal of Technology and Globalisation	Economics & Business 
	International Journal of Technology Management	Economics & Business 
	International Journal of Technology, Policy and Management	Economics & Business 
	International Journal of Value Chain Management	Economics & Business 
	International Journal of Work Organisation and Emotion	Economics & Business 
	International Small Business Journal	Economics & Business 
	Journal für Betriebswirtschaft	Economics & Business 
	Journal of African Business	Economics & Business 
	Journal of Applied Behavioral Science	Economics & Business 
	Journal of Applied Business Research	Economics & Business 
	Journal of Applied Psychology	Economics & Business 
	Journal of Asia-Pacific Business	Economics & Business 
	Journal of Business and Psychology	Economics & Business 
	Journal of Business Communication	Economics & Business 
	Journal of Business Logistics	Economics & Business 
	Journal of Business Strategy	Economics & Business 
	Journal of Business Venturing	Economics & Business 
	Journal of Contingencies and Crisis Management	Economics & Business 
	Journal of East-West Business	Economics & Business 
	Journal of Engineering and Technology Management	Economics & Business 
	Journal of Enterprise Information Management	Economics & Business 
	Journal of European Industrial Training	Economics & Business 
	Journal of General Management	Economics & Business 
	Journal of Human Values	Economics & Business 
	Journal of Intellectual Capital	Economics & Business 
	Journal of International Business Studies	Economics & Business 
	Journal of International Entrepreneurship	Economics & Business 
	Journal of International Management	Economics & Business 
	Journal of Knowledge Management	Economics & Business 
	Journal of Management & Governance	Economics & Business 
	Journal of Management (Elsevier)	Economics & Business 
	Journal of Management Development	Economics & Business 
	Journal of Management Inquiry	Economics & Business 
	Journal of Management Studies	Economics & Business 
	Journal of Managerial Issues	Economics & Business 
	Journal of Managerial Psychology	Economics & Business 
	Journal of Manufacturing Technology Management	Economics & Business 
	Journal of Occupational and Organizational Psychology	Economics & Business 
	Journal of Occupational Health Psychology	Economics & Business 
	Journal of Operations Management	Economics & Business 
	Journal of Organizational Behavior	Economics & Business 
	Journal of Organizational Behavior Management	Economics & Business 
	Journal of Organizational Change Management	Economics & Business 
	Journal of Purchasing & Supply Management	Economics & Business 
	Journal of Small Business and Enterprise Development	Economics & Business 
	Journal of Small Business Management	Economics & Business 
	Journal of Supply Chain Management	Economics & Business 
	Journal of Vocational Behavior	Economics & Business 
	Journal of Workplace Learning	Economics & Business 
	Journal of World Business	Economics & Business 
	Journal on Chain and Network Science	Economics & Business 
	Knowledge Management Research and Practice	Economics & Business 
	Leadership	Economics & Business 
	Leadership & Organization Development Journal	Economics & Business 
	Long Range Planning	Economics & Business 
	Management	Economics & Business 
	Management Communication Quarterly	Economics & Business 
	Management Decision	Economics & Business 
	Management International Review	Economics & Business 
	Management Learning	Economics & Business 
	Managerial and Decision Economics	Economics & Business 
	Measuring Business Excellence	Economics & Business 
	MIT Sloan Management Review	Economics & Business 
	Organization	Economics & Business 
	Organization Development Journal	Economics & Business 
	Organization Science	Economics & Business 
	Organization Studies	Economics & Business 
	Organizational Dynamics	Economics & Business 
	Organizational Research Methods	Economics & Business 
	Periodica Polytechnica, Social and Management Sciences	Economics & Business 
	Personnel Psychology	Economics & Business 
	Production and Inventory Management Journal	Economics & Business 
	Public personnel management	Economics & Business 
	Quality Progress	Economics & Business 
	R & D Management	Economics & Business 
	Research in Global Strategic Management	Economics & Business 
	Research in Multi-Level Issues	Economics & Business 
	Research in Occupational Stress and Well Being	Economics & Business 
	Research in Organizational Behavior	Economics & Business 
	Research in Organizational Change and Development	Economics & Business 
	Research in Personnel and Human Resources Management	Economics & Business 
	Research in the Sociology of Organizations	Economics & Business 
	Research Methodology in Strategy and Management	Economics & Business 
	Research on Managing Groups and Teams	Economics & Business 
	Research Technology Management	Economics & Business 
	Revue Francaise de Gestion	Economics & Business 
	Scandinavian Journal of Management	Economics & Business 
	Singapore Management Review	Economics & Business 
	Sloan management review	Economics & Business 
	Small Business Economics	Economics & Business 
	Small Group Research	Economics & Business 
	Strategic Direction	Economics & Business 
	Strategic Management Journal	Economics & Business 
	Strategy & Leadership	Economics & Business 
	Supply Chain Management: An International Journal	Economics & Business 
	System Dynamics Review (The Journal of the System  Dynamics Society)	Economics & Business 
	Systems Research & Behavioral Science	Economics & Business 
	Team Performance Management	Economics & Business 
	Technology in Society	Economics & Business 
	Technovation	Economics & Business 
	The Journal of High Technology Management Research	Economics & Business 
	The Journal of Product Innovation Management	Economics & Business 
	The Leadership Quarterly	Economics & Business 
	The Learning Organization	Economics & Business 
	The TQM Journal	Economics & Business 
	The TQM Magazine	Economics & Business 
	Thunderbird International Business Review	Economics & Business 
	Total Quality Management	Economics & Business 
	Total Quality Management & Business Excellence	Economics & Business 
	Transnational Corporations	Economics & Business 
	Venture Capital	Economics & Business 
	VINE	Economics & Business 
	Women in Management Review	Economics & Business 
	Work and Stress	Economics & Business 
	African Development Review	Economics & Business 
	Afrique contemporaine	Economics & Business 
	Asian development review	Economics & Business 
	Development and Change	Economics & Business 
	Development in Practice	Economics & Business 
	Development Policy Review	Economics & Business 
	Development Southern Africa	Economics & Business 
	Economic Development and Cultural Change	Economics & Business 
	European Journal of Development Research (Palgrave Macmillan)	Economics & Business 
	Finance & development	Economics & Business 
	Forum for development studies	Economics & Business 
	Gender and Development	Economics & Business 
	IDS Bulletin	Economics & Business 
	Indian Journal of Agricultural Economics	Economics & Business 
	Indian Journal of Labour Economics	Economics & Business 
	Journal fur Entwicklungspolitik : JEP	Economics & Business 
	Journal of African Economies	Economics & Business 
	Journal of Agrarian Change	Economics & Business 
	Journal Of Developing Areas	Economics & Business 
	Journal of Developing Societies	Economics & Business 
	Journal of Development Economics	Economics & Business 
	Journal of Development Studies	Economics & Business 
	Journal of Environment & Development	Economics & Business 
	Journal of International Development	Economics & Business 
	Journal of Peasant Studies	Economics & Business 
	Journal of social development in Africa	Economics & Business 
	Journal of third world studies	Economics & Business 
	Labour capital and society. Travail capital et societe	Economics & Business 
	Land Reform, Land Settlement and Cooperratives	Economics & Business 
	Mondes En Developpement	Economics & Business 
	Oxford Development Studies	Economics & Business 
	Perspectives on Global Development and Technology	Economics & Business 
	Progress in Developmental Studies	Economics & Business 
	Regional development dialogue	Economics & Business 
	Review of African Political Economy	Economics & Business 
	Review of Development Economics	Economics & Business 
	Revue canadienne d'etudes du developpement = Canadian journal of development studies	Economics & Business 
	Revue d'economie du developpement	Economics & Business 
	Savings and Development	Economics & Business 
	Science, Technology and Development	Economics & Business 
	Small Enterprise Development	Economics & Business 
	Social Dynamics	Economics & Business 
	The Developing Economies	Economics & Business 
	World Bank Research Observer	Economics & Business 
	World Development	Economics & Business 
	Advances in Econometrics	Economics & Business 
	Econometric Reviews	Economics & Business 
	Econometric Theory	Economics & Business 
	Econometrica	Economics & Business 
	International Journal of Forecasting	Economics & Business 
	Journal of Applied Econometrics	Economics & Business 
	Journal of business & economic statistics : a publication of the American Statistical Association	Economics & Business 
	Journal of Econometrics	Economics & Business 
	Journal of Financial Econometrics	Economics & Business 
	Journal of Forecasting	Economics & Business 
	Journal of Time Series Analysis	Economics & Business 
	Studies in Nonlinear Dynamics & Econometrics	Economics & Business 
	The Econometrics Journal	Economics & Business 
	B. E. Journal of Theoretical Economics	Economics & Business 
	Decisions in Economics and Finance	Economics & Business 
	Economic Theory	Economics & Business 
	Games and Economic Behavior	Economics & Business 
	International Game Theory Review	Economics & Business 
	International Journal of Game Theory	Economics & Business 
	Journal of Economic Theory	Economics & Business 
	Journal of institutional and theoretical economics : JITE = Zeitschrift fur die gesamte Staatswissenschaft	Economics & Business 
	Journal of Mathematical Economics	Economics & Business 
	Journal of Public Economic Theory	Economics & Business 
	Mathematical Social Sciences	Economics & Business 
	Review of Economic Design	Economics & Business 
	Social Choice and Welfare	Economics & Business 
	Theoretical Economics	Economics & Business 
	Theory and Decision	Economics & Business 
	Acta Oeconomica	Economics & Business 
	Advances in Applied Microeconomics	Economics & Business 
	Advances in Austrian Economics	Economics & Business 
	Advances in Economic Analysis & Policy	Economics & Business 
	Advances in health economics and health services research	Economics & Business 
	Allgemeines statistisches Archiv	Economics & Business 
	American Economic Review	Economics & Business 
	American Law and Economics Review	Economics & Business 
	Applied Economics	Economics & Business 
	Applied Economics Letters	Economics & Business 
	Asian Economic Journal	Economics & Business 
	Asian-Pacific Economic Literature	Economics & Business 
	Atlantic Economic Journal	Economics & Business 
	Australian Economic Papers	Economics & Business 
	B. E. Journal of Economic Analysis & Policy	Economics & Business 
	Brookings papers on economic activity	Economics & Business 
	Bulletin of Economic Research	Economics & Business 
	Bulletin of Indonesian Economic Studies	Economics & Business 
	Business Economics	Economics & Business 
	Business: Theory and Practice	Economics & Business 
	Cambridge Journal of Economics	Economics & Business 
	Canadian Journal of Economics	Economics & Business 
	Canadian public policy. Analyse de politiques	Economics & Business 
	CESIFO Economic Studies	Economics & Business 
	China and World Economy	Economics & Business 
	China Economic Review	Economics & Business 
	Computational Economics	Economics & Business 
	Constitutional Political Economy	Economics & Business 
	Contemporary Economic Policy	Economics & Business 
	Contributions to Economic Analysis & Policy	Economics & Business 
	Contributions to Macroeconomics	Economics & Business 
	Contributions to Political Economy	Economics & Business 
	Cuadernos de economia (Santiago, Chile)	Economics & Business 
	De Economist	Economics & Business 
	Eastern Economic Journal	Economics & Business 
	Eastern European Economics	Economics & Business 
	Economic Affairs	Economics & Business 
	Economic Change and Restructuring	Economics & Business 
	Economic Inquiry	Economics & Business 
	Economic Modelling	Economics & Business 
	Economic Outlook	Economics & Business 
	Economic Policy	Economics & Business 
	Economic Systems	Economics & Business 
	Economic Systems Research	Economics & Business 
	Economica	Economics & Business 
	Economics & Politics	Economics & Business 
	Economics Bulletin	Economics & Business 
	Economics Letters	Economics & Business 
	Economics of Education Review	Economics & Business 
	Economics of Governance	Economics & Business 
	Economics of Innovation & New Technology	Economics & Business 
	Economics of Planning	Economics & Business 
	Economie & statistique	Economics & Business 
	Economie et Prevision	Economics & Business 
	Economie Internationale	Economics & Business 
	Economists' Voice	Economics & Business 
	Education Economics	Economics & Business 
	Ekonomicky casopis	Economics & Business 
	El Trimestre economico	Economics & Business 
	Emerging Markets Finance & Trade	Economics & Business 
	Empirica	Economics & Business 
	Empirical Economics	Economics & Business 
	European Economic Review	Economics & Business 
	European Journal of Law and Economics	Economics & Business 
	European Journal of Political Economy	Economics & Business 
	Experimental Economics	Economics & Business 
	Federal Reserve Bank of St. Louis Review	Economics & Business 
	Feminist Economics	Economics & Business 
	Finance a Uver	Economics & Business 
