Shoe,"D874,103",,"Matsuo; Edson (Porto Alegre, BR)",Grendene S/A,"Current U.S. Class: D2/944; D2/900; D2/908 Current International Class: 0202 Field of Search: ;D2/906-908,943-947,950,962,969,972-974,976-978",Grendene S/A,BR,No other references field

"Footwear, footwear vamp, footwear vamp fastening element, footwear-vamp assembly and processes of production and/or assembly of footwear","9,788,610",A43C 19/00 (20130101); A43B 3/103 (20130101); A43B 3/122 (20130101),"A43B 3/12 (20060101); A43C 19/00 (20060101); A43B 3/10 (20060101)Canei; Ademir (Farroupilha, BR)",Grendene S.A.,"A footwear, footwear vamp, footwear vamp fastening element, footwear-vamp assembly and processes for production and/or assembly of a footwear. A footwear (10) comprising at least one vamp (1), at least one outsole (6) and at least one fastening element (2), the fastening element (2) comprising at least one base (5) and at least one projection (4), defining a confinement region (7) for mounting the vamp (1.1).",Grendene S.A.,BR,No other references field

Synergistic pesticidal compositions and related methods,"9,788,546",A01N 43/56 (20130101); A01N 43/56 (20130101); A01N 53/00 (20130101),"A01N 43/56 (20060101); A01N 53/00 (20060101)Gomez; Luis E. (Carmel, IN), Hunter; Ricky (Westfield, IN), Shaw; Mike (Carmel, IN), Trullinger; Tony K. (Westfield, IN), Herbert; John (Fishers, IN), Muller; Cristiane (Sao Paulo, BR), Siebert; Melissa (Greenville, MS)",DOW AGROSCIENCES LLC,"A pesticidal composition comprises a synergistically effective amount of a pyrethroid-based or pyrethrin-based sodium channel modulator compound and a pesticide selected from N-(3-chloro-1-(pyridin-3-yl)-1H-pyrazol-4-yl)-N-ethyl-3-((3,3,3-trifluoro- propyl)thio)propanamide (I), N-(3-chloro-1-(pyridin-3-yl)-1H-pyrazol-4-yl)-N-ethyl-3-((3,3,3-trifluoro- propyl)sulfinyl)propanamide (II), or any agriculturally acceptable salt thereof. A method of controlling pests comprises applying the pesticidal composition near a population of pests. A method of protecting a plant from infestation and attack by insects comprises contacting the plant with the synergistic pesticidal composition. ##STR00001##",Dow AgroSciences LLC,US,No other references field

Method for controlling rust,"9,788,544",A01N 25/00 (20130101); A01N 47/14 (20130101); A01N 47/24 (20130101); A01N 43/54 (20130101); A01N 43/40 (20130101); A01N 43/653 (20130101); A01N 47/14 (20130101); A01N 25/00 (20130101); A01N 43/40 (20130101); A01N 43/54 (20130101); A01N 43/653 (20130101); A01N 47/24 (20130101); A01N 43/653 (20130101); A01N 25/00 (20130101); A01N 43/40 (20130101); A01N 43/54 (20130101); A01N 47/24 (20130101); A01N 25/00 (20130101); A01N 43/40 (20130101); A01N 43/54 (20130101); A01N 47/24 (20130101),"A01N 43/54 (20060101); A61K 31/505 (20060101); A01N 43/653 (20060101); A01N 25/00 (20060101); A01N 47/14 (20060101); A01N 43/40 (20060101); A01N 47/24 (20060101)Oliveira; Gilson Aparecido Hermenegildo de (Sao Paulo, BR), Shroff; Jaidev Rajnikant (Maharashtra, IN), Shroff; Vikram Rajnikant (Maharashtra, IN)",UPL LIMITED,"A combination comprising a multi-site contact fungicide, a first systemic fungicide and optionally a second systemic fungicide and a method using the same.",UPL LIMITED,IN,"International Search Report and Written Opinion from corresponding International Patent Application No. PCT/IB2014/064891, mailed Feb. 23, 2015, 20 pages. cited by applicant."

Methods and compositions for selecting corn plants resistant to diplodia ear rot,"9,788,505",C12Q 1/6895 (20130101); A01H 5/10 (20130101); A01H 1/04 (20130101); C12N 15/8282 (20130101); C12Q 2600/156 (20130101); C12Q 2600/13 (20130101),C12Q 1/68 (20060101); C12N 15/82 (20060101); A01H 5/10 (20060101); A01H 1/04 (20060101)**Please see images for: ( Certificate of Correction ) **,,"The present invention relates to the field of plant breeding and disease resistance. More specifically, the invention includes a method for breeding corn plants containing quantitative trait loci that are associated with diplodia ear rot (DER), a fungal disease associated with Stenocarpella spp. The invention further includes germplasm and the use of germplasm containing quantitative trait loci (QTL) conferring resistance for introgression into elite germplasm in a breeding program for resistance to DER.",,,No other references field

Harvester and processor for peanuts,"9,788,488",A01D 51/002 (20130101); A01D 29/00 (20130101); A01F 12/184 (20130101); A01F 7/06 (20130101),"A01D 29/00 (20060101); A01F 12/18 (20060101); A01D 51/00 (20060101); A01F 7/06 (20060101)Bertino; Luiz Henrique (Pindorama, BR)",Ind strias Reunidas Colombo Ltda.,"A harvester and processor for peanuts that comprises a drag type machine to be towed and actuated by a conventional tractor, which has various double assemblies to harvest lined up peanuts and process them through various steps of cleaning, up to the separation of the cleaned grains that are stored in an embedded tipper bucket, and to perform all this, the machine contains a chassis (1), that on its bottom side is supported by wheels (3), while on its top side is integrated with a plate body (4) forming a mono block structure for the assembling of all the embedded assemblies, starting with the frontal hitch pole (5) integrated with the transmission assembly (6) which is responsible for the actuation of various parts of the machine, specially two harvesting conveyor belts (8), anti-jamming receptive boxes (9), threshing cylinders (10), and in these cylinders starts the cleaning process together with the vibrating sieves (11) and the ventilation assembly (12), being that the cleaned fruits are delivered to a receptive chute (13), where they are collected by a bucket elevator (14) and dropped inside of a tipper bucket (15).",IND STRIAS REUNIDAS COLOMBO LTDA.,BR,No other references field

Shoe,"D799,173",,"Angelico; Ana Maria Duarte (Sao Paulo, BR)",Alpargatas S.A.,"Current U.S. Class: D2/917 Current International Class: 0204 Field of Search: ;D2/896-900,903,916-925,943,946,969,971,976",ALPARGATAS S.A.,BR,No other references field

Caching programming data,"9,788,067",H04N 21/2355 (20130101); H04N 21/6582 (20130101); H04N 21/25891 (20130101); H04N 21/4532 (20130101); H04N 21/4821 (20130101); G08C 17/02 (20130101); G08C 23/04 (20130101); H04N 5/4403 (20130101); H04N 5/44543 (20130101); H04N 21/25808 (20130101); H04N 21/42207 (20130101); H04N 21/42208 (20130101); H04N 21/42224 (20130101); H04N 21/42225 (20130101); H04N 21/42226 (20130101); H04N 21/4586 (20130101); H04N 21/475 (20130101); H04N 21/8186 (20130101); H04N 2005/4408 (20130101); H04N 2005/44556 (20130101); G08C 2201/21 (20130101),"H04N 21/482 (20110101); H04N 21/658 (20110101); H04N 21/235 (20110101); H04N 21/81 (20110101); H04N 21/475 (20110101); H04N 21/458 (20110101); H04N 21/422 (20110101); G08C 17/02 (20060101); H04N 5/44 (20110101); H04N 5/445 (20110101); H04N 21/45 (20110101); H04N 21/258 (20110101); G08C 23/04 (20060101)e Silva; Bernardo Ferreira de Carvalho (Brooklyn, NY), Rocha; Daniel Cristiano (Sao Paulo, BR), Skokna; David (Brooklyn, NY)",Ray Enterprises LLC,"Systems and methods for facilitating caching of programming data are provided herein, including receiving two or more programming data portions, storing the respective programming data portions, managing access to a storage component or a communication component based on programming data portions stored within the storage component, merging programming data portions with a database, and generating a sleep signal based on a period of inactivity which exceeds an inactivity threshold. In one or more embodiments, caching of programming data may include determining a programming data set based on user profile data, parsing the programming data set into two or more programming data portions, converting respective programming data portions into a binary format, transmitting a first programming data portion of the respective programming data portions, and transmitting additional programming data portions of the respective programming data portions based on a sleep signal.","Ray Enterprises, LLC",US,No other references field

Virtual window for aircraft,"9,787,948",H04N 7/183 (20130101); B64D 2011/0061 (20130101),"H04N 7/18 (20060101); B64D 11/00 (20060101)de Carvalho; Carlos Eduardo (Sao Jose dos Campos, BR), Vassallo; Alessandro (Sao Jose dos Campos, BR), do Carmo; Amanda Oliveira (Sao Jose dos Campos, BR), Gasparotti; Andre (Sao Jose dos Campos, BR), Castanha; Bruno Kimura (Sao Jose dos Campos, BR), Filho; Carlos Augusto Fernandes (Sao Jose dos Campos, BR), Teixeira; Carlos Marcelo Campos (Sao Jose dos Campos, BR), Bernardes; Carlos Rosley (Sao Jose dos Campos, BR), de Campos; Demetrio Andrade (Sao Jose dos Campos, BR), de Albuquerque; Douglas Goncalves (Sao Jose dos Campos, BR), Garakis; Emmanuel Basile (Sao Jose dos Campos, BR), Pugliesi; Fernanda Loth (Sao Jose dos Campos, BR), Ciaccia; Flavia Renata Dantas Alves Silva (Sao Jose dos Campos, BR), Romero Tarazona; Luz Maria (Sao Jose dos Campos, BR), Miranda; Mateus Rodrigues (Sao Jose dos Campos, BR), Mendes de Oliveira; Mauri (Sao Jose dos Campos, BR), Abelheira; Ricardo Athayde (Sao Jose dos Campos, BR), Mochiduky; Silvio Hideo Lemos (Sao Jose dos Campos, BR), Affonso; Sergio Raphael Fonseca (Sao Jose dos Campos, BR), Affonso Junior; Walter (Sao Jose dos Campos, BR)",EMBRAER S.A.,"To create an environment in which the passenger has the same emotion, feel and visual experience that a pilot has with regard to freedom of flight and proximity to the exterior of the aircraft and where passengers have the impression that they are looking out of an actual panoramic window, a ""virtual window"" includes internal and the external aspects of a real window. The internal part can comprise a folded or flexible high resolution color display that conforms to the internal profile of the aircraft fuselage as if it were an actual window. The external part comprises a paint scheme that is indistinguishable from an actual window and which is placed on the outside of the aircraft fuselage in registry with the conformal display in the aircraft's interior.",Embraer S.A.,BR,No other references field

Automatic white balance using histograms from subsampled image,"9,787,894",H04N 5/23229 (20130101); G06K 9/6212 (20130101); H04N 9/735 (20130101); G06T 5/40 (20130101); H04N 9/045 (20130101); G06T 5/002 (20130101),"H04N 5/232 (20060101); G06K 9/62 (20060101); G06T 5/00 (20060101); G06T 5/40 (20060101)Gomes Leandro; Jorge de Jesus (Sao Paulo, BR), Dantas; Henrique Cunha (Alagoas, BR), Radakovic; Daniela (Park Ridge, IL), Casagrande; Cassiano K (Sao Paulo, BR), Veiga; Nicolas Luiz R (Sao Paulo, BR)",Motorola Mobility LLC,A method includes receiving statistical image data for a set of image data. The statistical image data includes composite intensity metrics for each of a plurality of color channels for each of a plurality of cells of a subsampling grid. A histogram is generated for each of the color channels based on the composite intensity metrics. A gain for each of the color channels is determined based on the histograms. The gains for each of the color channels are applied to the set of image data. The set of image data is stored after applying the gains to generate an image data file.,Motorola Mobility LLC,US,No other references field

Selecting content based on user actions and preferences associates with a same time period in a previous year,"9,785,968",G06Q 30/0251 (20130101),G06Q 30/00 (20120101); G06Q 30/02 (20120101)**Please see images for: ( Certificate of Correction ) **,,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for long-term targeting. In one aspect, a method includes: assigning a user a unique identifier and recognizing the user when the user interacts with a content system; logging user actions and preferences as the user interacts with one or more web based resources over a long time period where the long time period exceeds a life of one session and an expiration of one or more cookies residing on a user device; identifying logged user actions and preferences that are associated with a same time period in a previous year, including identifying immutable and mutable aspects of the logged user actions and preferences that are time-related; adjusting the mutable aspects based on the current date; and providing, to the user, content based on the immutable aspect, the adjusted mutable aspects, and information included in a content request.",,,No other references field

Enclosure for an optical device,"9,785,812",G07F 19/201 (20130101); G07F 19/205 (20130101); G07G 1/0018 (20130101); H01F 27/08 (20130101); H05K 7/20409 (20130101); H05K 5/0004 (20130101); H05K 5/0247 (20130101); H05K 5/03 (20130101); G06K 7/10831 (20130101),"G06K 7/10 (20060101); H05K 5/03 (20060101); G07F 19/00 (20060101); G07G 1/00 (20060101); H01F 27/08 (20060101); H05K 7/20 (20060101); H05K 5/02 (20060101); H05K 5/00 (20060101)Ferrante do Amaral; Carlos Eduardo (North Canton, OH), Neto; Matheus (Sao Paulo, BR), da Silva; Ivan Aparecido (Sao Paulo, BR), Jenkins; Randall W. (Orrville, OH), de Castro; Marcelo Soares (Canton, OH), dos Santos; Gilson Goncalves (Sao Paulo, BR), Jimison; Don Douglas (Louisville, OH)","Diebold, Incorporated","In accordance with an example embodiment, there is disclosed herein, an apparatus, comprising a bezel, a cover, and a thermally conductive, electrically isolating material. The cover comprises top and side surfaces, a cavity for receiving an optical device, a first opening for the optical device to obtain an image, and a second opening for allowing an electrical conductor to be coupled with the optical device. The thermally conductive, electrically isolating, material, is shaped in accordance with the shape of the optical device. The bezel and the cover protect the optical device from discharge currents. The thermally conductive, electrically isolating, material provides electrical isolation of the optical device from the cover and conducts heat from the optical device to the top and side surfaces of the cover.","Diebold Nixdorf, Incorporated",US,No other references field

Arbitrary instruction execution from context memory,"9,785,538",G06F 11/3648 (20130101),"G06F 9/30 (20060101); G06F 11/36 (20060101)Brites; Celso Fernando Veras (Campinas, BR), Prado; Alex Rocha (Campinas, BR)","Freescale Semiconductor, Inc.","Arbitrary instruction execution from context memory. In some embodiments, an integrated circuit includes a processor core; a context management circuit coupled to the processor core; and a debug support circuit coupled to the context management circuit, where: the context management circuit is configured to halt a thread running on the processor core and save a halted thread context for that thread into a context memory distinct from the processor core, where the halted thread context comprises a fetched instruction as the next instruction in the execution pipeline; the debug support circuit is configured instruct the context management circuit to modify the halted thread context in the context memory by replacing the fetched instruction with an arbitrary instruction; and the context management circuit is further configured to cause the thread to resume using the modified thread context to execute the arbitrary instruction.","NXP USA, Inc.",US,No other references field

Symmetrical positive and negative reference voltage generation,"9,785,177",G05F 3/16 (20130101); H03F 3/45475 (20130101); H03F 2200/165 (20130101); H03F 2203/45248 (20130101); H03F 2203/45288 (20130101),"G05F 1/10 (20060101); G05F 3/16 (20060101); G05F 3/02 (20060101); H03F 3/45 (20060101)Coimbra; Ricardo (Campinas, BR), Gonzalez; Javier Mauricio Olarte (Campinas, BR)",NXP B.V.,"In an embodiment, an electronic device includes a first amplifier having a non-inverting input configured to receive a reference voltage and an inverting input coupled to a first output node, where the first amplifier is configured to produce a first output voltage at the first output node. The electronic device also includes a second amplifier having a non-inverting input coupled to a ground reference level, and an inverting input coupled to the first output node via a first resistor and to a second output node via a second resistor, where the second amplifier is configured to produce a second output voltage at the second output node.","NXP USA, Inc.",NL,No other references field

"Method and device to identify, record and store traveling wave heads in electric power systems","9,784,783",G01R 31/08 (20130101); G01R 31/086 (20130101),"G01R 31/08 (20060101)Seibel; Conrado Werner (Florianopolis, BR), Dutra; Carlos Alberto (Florianopolis, BR)",Seibel; Conrado Werner Dutra; Carlos Alberto,"METHOD AND DEVICE TO IDENTIFY, RECORD AND STORE TRAVELING WAVE HEADS IN ELECTRIC POWER SYSTEMS consisting in sending a trigger (5) signal generated from the monitoring of the basic values of voltage and current of the electrical signal (1) of the transmission system in its fundamental frequency of operation (50/60 Hz), where the generated trigger (5) signal is controlled by continuous monitoring of the parameters derived from the basic values of current and voltage and tested against thresholds previously set by a user.",Reason Tecnologia S.A.,BR BR,No other references field

Air dehydration and heating device,"9,784,485",F25B 30/02 (20130101); F26B 21/08 (20130101); F26B 21/10 (20130101); F26B 2200/06 (20130101),"F26B 21/06 (20060101); F28D 5/00 (20060101); F24F 3/153 (20060101); F24F 3/044 (20060101); F25B 30/02 (20060101); F26B 21/10 (20060101); F26B 21/08 (20060101)Ayala Barreto; Francisco Maria (Cascavel, BR)",Ayala Barreto; Francisco Maria,"An air dehydration and heating device can include a first evaporator serpentine and a second evaporator serpentine in parallel and in series with at least one condenser serpentine; a first outside air intake damper for the first evaporator serpentine and a second outside air intake damper for the second evaporator serpentine; a fan motor to drive a fan; a drying air outlet duct to receive air moved by the fan, the air having passed through at least one of the first evaporator serpentine and the second evaporator serpentine and at least one of the at least one condenser serpentine; a return drying air intake damper in a return drying air intake duct; and a processor to control temperature and humidity of drying air in the drying air outlet duct.",48607642,BR,No other references field

Cooktop burner mounting system,"9,784,454",F24C 3/085 (20130101); B23P 11/00 (20130101); F24C 3/08 (20130101); F23D 14/06 (20130101); Y10T 29/49826 (20150115),"F24C 3/08 (20060101); B23P 11/00 (20060101); F23D 14/06 (20060101)Kadus; Sachin (Pune, IN), Kulkarni; Pradeep (Pune, IN), Sankhgond; Basavraj Ishwar (Evansville, IN), Silva; Arthur P. (Joinville, BR)",Whirlpool Corporation,"A burner of a gas cooking appliance is mounted through a turn and lock mechanism established between a support member mounted below a cooktop of the appliance and a holder attached to the burner. More specifically, the holder and support member include interengaging structure, allowing the holder to be initially attached to and then twist secured upon the support member. In addition, locating structure is provided to assure the holder is appropriately positioned for proper alignment of the turn and lock mechanism. Furthermore, upon twisting the holder relative to the support member, locking structure retains the holder in a desired, operational position.",Whirlpool Corporation,US,"European Patent Application No. 14159755.9, filed Mar. 14, 2014, Applicant: Whirlpool Europe, Srl, European Search Report re: same, mail date: May 23, 2014. cited by applicant."

"Process for microbial fermentation of sugary substrates and use of the hydrogen in atomic, ionic or gaseous state in said process","9,783,830",C12P 7/06 (20130101); Y02E 50/17 (20130101),"C12P 7/06 (20060101)Lourenco; Antonio Pedro (Sertaozinho, BR), Kawakami; Masayuki (Sao Paulo, BR), Lopes; Jose Francisco (Sumare, BR)",Mahle Metal Leve S/A LSDATA PLM Software Ltda-ME Advel Tecnologia E Comercio LTDA. EPP,A process for microbial fermentation of sugary substrates may include inoculating hydrogen into a microorganism of a genera fungus or a bacterium present in suspension in a wort under fermentation or in an immobilized bed. The wort under fermentation or in the immobilized bed may contain sugars and microorganisms.,Mahle Metal Leve S/A,BR BR BR,No other references field

"Method for bacteria control, method for fungi control, method for virus control, method for preventing encrustation on surfaces and method for preventing corrosion on surfaces","9,783,435",A01N 37/36 (20130101); C02F 1/50 (20130101); A01N 37/36 (20130101); A01N 33/08 (20130101); A01N 37/36 (20130101),"A01N 61/02 (20060101); A01N 37/36 (20060101); C02F 1/50 (20060101)Pengo; Edson Renato (Ja, BR), Vermelho; Alane Beatriz (Rio de Janeiro, BR), Ferreira; Davis Fernandes (Rio de Janeiro, BR), Ferreira; Doneivan Fernandes (Rio de Janeiro, BR), Venancio; Fabricio de Queiroz (Rio de Janeiro, BR), Batocchio; Marcelo Adriano Pavanelli (Rio de Janeiro, BR)",Applied.Bio Pesquisa e Servicos em Biotecnologia Ltda. Pengo; Edson Renato,"Methods for organisms control using biocide compositions based on castor oil and/or derivates. In one embodiment, the present invention presents methods of bacteria, fungi, virus and encrustations control. The present invention relates to the fields of Agriculture, Microbiology and Chemical Engineering.",Applied.Bio Pesquisa e Servicos em Biotecnologia Ltda,BR BR,No other references field

Wheel hub for vehicle axle,"9,783,000",B60B 27/00 (20130101); B60B 27/06 (20130101); B60B 2900/313 (20130101); B60B 2900/30 (20130101); Y02T 10/86 (20130101); B60B 2900/513 (20130101); B60Y 2200/14 (20130101),"B60B 27/06 (20060101); B60B 27/00 (20060101)Perini; Gustavo (Farroupilha-RS, BR)",RANDON S/A IMPLEMENTOS E PARTICIPACOES,"The present invention relates to a wheel hub for vehicle axle used in trucks, buses, trailers and semi-trailers, consists of a cylindrical central body, said central body surrounded by a plurality of radial projections extending vertically from the median region of said central body, being structured by ribs integrated with said projections providing robustness, reduced weight and reduced heat transfer from the brake to tires.",RANDON S/A IMPLEMENTOS E PARTICIPACOES,BR,No other references field

"Fluorinated CBD compounds, compositions and uses thereof","9,782,360",C07C 39/42 (20130101); C07C 39/373 (20130101); C07C 69/63 (20130101); A61K 31/055 (20130101); C07C 69/16 (20130101); C07C 2601/16 (20170501),"A61K 31/055 (20060101); C07C 69/63 (20060101); C07C 39/42 (20060101)Mechoulam; Raphael (Jerusalem, IL), Zuardi; Antonio Waldo (Ribeirao Preto, BR), Kapczinski; Flavio Pereira (Porto Alegre, BR), Hallak; Jaime Eduardo Cecilio (Ribeirao Preto, BR), Guimaraes; Francisco Silveira (Sao Paulo, BR), Crippa; Jose Alexandre de Souza (Ribeirao Preto, BR), Breuer; Aviva (Jerusalem, IL)",YISSUM RESEARCH DEVELOPMENT COMPANY OF THE HEBREW UNIVERSITY OF JERUSALEM LTD UNIVERSIDADE DE SAO PAULO--USP UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL--UFRGS,"The present invention relates to fluorine substituted CBD compounds, compositions thereof and uses thereof for the preparation of medicaments.",UNIVERSIDADE DE SAO PAULO--USP,IL BR BR,No other references field

Control of base cutter height for multiple row sugar cane harvesters,"9,781,880",A01D 34/006 (20130101); A01D 63/02 (20130101); A01D 69/03 (20130101); A01D 41/145 (20130101); A01D 45/10 (20130101); A01D 41/141 (20130101); A01D 2101/00 (20130101),"A01D 45/10 (20060101); A01D 63/02 (20060101); A01D 34/00 (20060101); A01D 69/03 (20060101); A01D 41/14 (20060101)Cleodolphi; Daenio (Piracicaba, BR), Verstraete; Jan (Poperinge, BE), Fagundes; Adriano (Curitiba, BR), Sarchi; Ramon (Piracicaba, BR), Tanaka; Fabio (Piracicaba, BR)",CNH Industrial America LLC,A multiple row sugar cane harvester having automatic and independent control of multiple base cutters utilized to severe sugar cane stalks in adjacent rows. Position sensors sense the height of the base cutters relative to the chassis of the sugar cane harvester and feed the signals to a controller for adjusting the height to a preselected level. The base cutters are individually driven by hydraulic motors through individual hydraulic circuits and the operating pressure is sensed and fed to the controller for determining whether a choke condition exists. A load sensor is incorporated between the linkage and the sugar cane harvester chassis for determining whether the base cutters have ground contact to elevate the base cutters.,CNH Industrial America LLC,US,No other references field

Mobile device inference and location prediction of a moving object of interest,"9,781,565",H04W 4/029 (20180201); H04L 67/18 (20130101); H04W 4/027 (20130101); G06T 7/246 (20170101); H04W 4/023 (20130101); G10L 15/26 (20130101),"H04W 4/02 (20090101); H04L 29/08 (20060101); G10L 25/72 (20130101); G06K 9/00 (20060101); G06T 7/20 (20170101); H04W 88/02 (20090101); H04W 88/08 (20090101)Folco; Rafael C. S. (Santa Barbara d'Oeste, BR), Leitao; Breno H. (Campinas, BR), Nunes do Rosario; Desnes A. (Pinheiros, BR), Santiago Filho; Jose F. (Campinas, BR)",International Business Machines Corporation,"A first set of data may be received indicating that an object of interest has been identified. A second set of data may be received indicating a first location of where the object of interest was identified. The first location may correspond to a geographical area. In response to the receiving of the first set of data and the second set of data, the first location may be associated with a first transceiver base station. In response to the associating, a first list of one or more mobile devices may be obtained that are within an active range of the first transceiver base station.",International Business Machines Corporation,US,"Lim, et al., ""Introduction of Smart Monitoring and Tracing System Using GPS Information,"" International Journal of Computer and Communication Engineering, vol. 1, No. 2, Jul. 2012, pp. 107-110 http://www.ijcce.org/papers/30-N018.pdf. cited by applicant . Muda et al., ""Voice Recognition Algorithms using Mel Frequency Cepstral Coefficient (MFCC) and Dynamic Time Warping (DTW) Techniques,"" Journal of Computing, vol. 2, Issue 3, Mar. 2010, ISSN 2151-9617, pp. 138-143. cited by applicant . Prigg, ""Now there's no escape from CCTV . . . Researchers reveal software that can track people as they walk from camera to camera in real time,"" MailOnline, Science & Tech, published Nov. 18, 2014, 3 pages, printed Feb. 17, 2016, .COPYRGT. Associated Newspapers Ltd, http://www.dailymail.co.uk/sciencetech/article-2838633/Software-track-peo- ple-walk-camera-camera-say-tracked-Boston-bombers-hours.html. cited by applicant . Russell et al., ""Artificial Intelligence a Modern Approach, Third Edition,"" Pearson Education, Inc., Chapter 15, Upper Saddle River, New Jersey, Copyright 2010, 2003, 1995, 50 pages. cited by applicant."

Data synchronization,"9,781,203",G06F 11/30 (20130101); G06F 11/3058 (20130101); G06F 16/00 (20190101); H04L 67/1095 (20130101); G06F 11/3438 (20130101); G06F 11/2097 (20130101); Y02D 10/34 (20180101),"G06F 15/16 (20060101); G06F 17/30 (20060101); H04L 29/08 (20060101); G06F 11/34 (20060101); G06F 11/30 (20060101); G06F 11/20 (20060101)Scheer; Roque Luis (Porto Alegre, BR), Porto; Mauricio Nunes (Porto Alegre, BR), Santhiveeran; Soma Sundaram (Fremont, CA)","Hewlett-Packard Development Company, L.P.","An example for synchronizing data in accordance with aspects of the present disclosure includes monitoring a set of attributes at a plurality of devices on a network, selecting a group of data based on the monitored set of attributes for synchronization, assigning priority levels to each selected data and each device, prioritizing synchronization operations to be performed on the group of selected data based on the priority levels, and synchronizing the group of selected data in accordance with the prioritization of the synchronization.","Hewlett-Packard Development Company, L.P.",US,"Muthusrinivasan et al, ""Optimizing the Update Packet Stream for Web Applications,"" Oct. 2010, pp. 1-18 dejanseo.com.au/research/google. cited by applicant . PCT Search Report/Written Opinion.about.Application No. PCT/US2013/027848 dated Nov. 27, 2013.about.9 pages. cited by applicant . Tae-Young Chang, ""User-Activity Aware Strategies for Mobile Information Access,"" Thesis, Georgia Institute of Technology, Apr. 2008, pp. 1-144. cited by applicant."

Migration of profiles between virtual connect domains,"9,781,003",H04L 41/082 (20130101); H04L 41/0846 (20130101); H04L 41/0866 (20130101); G06F 9/44505 (20130101); H04L 12/4641 (20130101); H04L 67/30 (20130101); G06F 9/45533 (20130101),"H04L 12/46 (20060101); H04L 12/24 (20060101); G06F 9/445 (20060101); H04L 29/08 (20060101); G06F 9/455 (20060101)Nichele; Caren Moraes (Rio Grande do Sul, BR), Frolik; Michelle Catherine (Houston, TX), Correa; Julio (Porto Alegre, BR), Detoni; Gabriel Girardello (Palo Alto, CA), Dias; Edison Rafael Sa (Porto Alegre, BR)",Hewlett Packard Enterprise Development LP,"Migration of profiles between virtual connect domains is described. In an example, a plurality of validations are performed on a profile from a first virtual connect domain virtualizing devices using a first configuration. The profile is updated based on a second virtual connect domain virtualizing devices using a second configuration. The profile is moved for use by a device in the second virtual connect domain.",Hewlett Packard Enterprise Development LP,US,No other references field

Compact optical switch having only two waveguides and a resonant cavity to provide 60 degree folding,"9,778,540",G02F 1/095 (20130101); G02F 1/3132 (20130101); G02B 6/1225 (20130101); G02F 1/09 (20130101); G02B 6/355 (20130101); G02B 6/3552 (20130101); G02B 6/3596 (20130101); G02F 2201/06 (20130101); G02F 2202/32 (20130101); G02F 2203/15 (20130101),"G02F 1/313 (20060101)Dmitriev; Victor (Belem, BR), Portela; Gianni Masaki Tanaka (Belem, BR), Batista; Raphael Rafsandjani (Belem, BR)",Universidade Federal Do Para--UFPA,"The present invention is based on a two-dimensional photonic crystal in which are inserted, in a controlled manner, defects that originate the waveguides and the resonant cavity that integrate the device. Its main function is to provide the control of the passage of an electromagnetic signal over a communications channel, blocking (state off) or allowing (state on) the passage of the signal. It also has the function of changing the propagation direction of an electromagnetic signal by an angle of 60 degrees, offering greater flexibility in the design of integrated optical systems. The operating principle of the device is associated with the excitation of dipole modes in the resonant cavity, which is based on a magneto-optical material. When the switch is under the influence of an external DC magnetic field H.sub.0, a rotating dipole mode excited in the cavity allows the passage of the input signal to the output (state on), whereas without the application of H.sub.0, a stationary dipole mode excited in the cavity, with the nodes aligned to the output waveguide, prevents the passage of the input signal to the output (state off).",UNIVERSIDADE FEDERAL DO PARA--UFPA,BR,No other references field

Nonreciprocal three-way divider based on a magneto-optical resonator,"9,778,496",G02B 6/4208 (20130101); G02B 6/1225 (20130101); G02F 1/093 (20130101); G02F 1/095 (20130101); G02F 1/0955 (20130101); G02F 1/313 (20130101); G02F 2202/32 (20130101); G02F 2203/15 (20130101); G02B 2006/12154 (20130101); G02B 2006/12157 (20130101),"G02B 6/42 (20060101); G02F 1/09 (20060101); G02F 1/095 (20060101); G02B 6/122 (20060101); G02F 1/313 (20060101); G02B 6/12 (20060101)Dmitriev; Victor (Belem, BR), Portela; Gianni Masaki Tanaka (Belem, BR)",UNIVERSIDADE FEDERAL DO PARA--UFPA,"The present invention is based on a two-dimensional photonic crystal in which defects are inserted in a controlled manner, has the main function of division of the power of an input signal, excited in one of its six waveguides, among other three waveguides (output ones), while keeping isolation of the input port by means of two other waveguides. The operating principle of the device is based on the alignment of a dipole mode excited in the resonant cavity, in such a way that the nodes of this mode are oriented in the direction of two waveguides, so that these waveguides are not excited. Due to this alignment, each of the three output waveguides receive about one third of the power of input signal. The orientation of dipole mode is controlled by the applied DC magnetic field and the physical and geometrical parameters of the resonator.",UNIVERSIDADE FEDERAL DO PARA--UFPA,BR,No other references field

